Country,< lower secondary,>= upper secondary < tertiary,tertiaty
Austria,17.5,21.1,20
Belgium,23.6,19.4,18.1
Bulgaria,9.5,10.1,8.5
Croatia,10.8,15.6,16
Denmark,28.7,28.2,26.5
Estonia,33.7,28,22.8
Finland,31.5,40.6,34
France,16.7,19.4,21.1
Greece,18.3,22.7,29.3
Kosovo*,8.6,5.4,5.2
Latvia,22.7,18.6,14.3
Lithuania,28.8,19.9,13.6
Malta,15.2,18.3,15.9
Montenegro,8.6,7.5,6.7
Netherlands,15.9,20.1,21.7
Poland,14.1,11.8,10.8
Portugal,12.4,10.9,10.6
Serbia,15,10.8,11.1
Slovakia,39,34.1,26.3
Slovenia,:,16.1,15
Spain,13.6,18.7,16.5
