Country,Intentional homicide,Rape,Sexual assault
Albania,2.27,2.66,2.48
Austria,0.87,19.87,29.64
Bulgaria,1.19,1.87,7.07
Croatia,0.81,11.55,9.3
Cyprus,1.71,:,:
Czechia,0.91,6.52,8.45
Denmark,1.14,34.26,45.69
Estonia,1.96,:,:
Finland,1.59,24.7,43.42
France,1.12,35.03,51.48
Germany,0.75,11.7,40.68
Greece,0.73,1.74,:
Hungary,0.65,3.9,:
Iceland,0.28,:,:
Ireland,0.65,21.72,36.25
Italy,0.53,:,:
Kosovo*,1.34,2.39,3.23
Latvia,3.39,5.57,4.11
Liechtenstein,2.61,:,:
Lithuania,3.36,3.61,2.79
Luxembourg,0.65,:,:
Malta,1.01,6.28,17.63
Montenegro,3.7,0.64,4.18
Netherlands,0.63,:,:
North Macedonia,:,:,:
Norway,0.53,39.43,36.07
Poland,0.67,1.89,1.53
Portugal,:,2.03,17.14
Romania,1.26,3.56,0.66
Serbia,1.26,1.85,6.84
Slovakia,1.39,1.78,1.43
Slovenia,0.67,1.78,1.92
Spain,0.71,3.59,24.92
Sweden,1.09,80.85,108.91
Switzerland,0.54,7.6,7.07
Turkiye,2.46,:,3.52
